recv_time,timestamp,mag_x,mag_y,mag_z,temp,pressure,altitude,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,voltage,current,power
2026-03-27T20:04:41.714223,13,40.34,57.69,12.16,23.58,385.25,7452.00,-0.050,0.266,0.806,-6.40,-5.50,-25.14,8.617,284.25,2448.00
2026-03-27T20:04:42.113966,14,40.81,57.88,12.29,23.59,385.25,7452.00,-0.050,0.281,0.804,-6.62,-5.27,-24.62,8.609,283.50,2442.00
2026-03-27T20:04:42.741319,15,40.75,57.81,12.20,23.59,385.25,7452.00,-0.046,0.266,0.808,-6.90,-5.22,-24.42,8.617,283.50,2444.00
2026-03-27T20:04:43.383654,15,40.47,57.62,12.02,23.59,385.25,7452.00,-0.056,0.265,0.812,-6.84,-5.27,-24.69,8.617,266.00,2292.00
2026-03-27T20:04:44.029907,16,40.69,57.81,11.78,23.59,385.25,7452.00,-0.052,0.267,0.805,-6.66,-5.18,-24.86,8.617,243.38,2098.00
2026-03-27T20:04:44.631659,17,40.59,57.69,11.95,23.59,385.25,7452.00,-0.052,0.272,0.795,-6.66,-5.00,-24.19,8.617,247.25,2130.00
2026-03-27T20:04:44.881477,17,40.72,57.94,12.01,23.61,385.25,7452.00,-0.056,0.266,0.807,-6.76,-5.59,-24.91,8.617,264.25,2276.00
2026-03-27T20:04:45.477047,18,40.84,57.84,11.82,23.59,385.25,7452.00,-0.049,0.267,0.804,-6.86,-5.43,-24.34,8.617,263.25,2268.00
2026-03-27T20:04:46.176823,18,40.72,57.91,12.09,23.61,385.25,7452.00,-0.048,0.257,0.805,-6.86,-5.25,-24.83,8.609,285.75,2460.00
2026-03-27T20:04:46.942022,19,40.59,57.78,12.19,23.61,385.25,7452.00,-0.049,0.272,0.811,-6.78,-5.29,-25.20,8.617,259.25,2234.00
2026-03-27T20:04:47.433767,20,40.62,57.59,11.78,23.61,385.25,7452.00,-0.043,0.269,0.805,-6.66,-5.46,-25.31,8.633,254.50,2196.00
2026-03-27T20:04:48.020174,20,40.94,57.66,11.94,23.64,385.25,7452.00,-0.047,0.268,0.804,-6.79,-5.54,-25.16,8.617,257.00,2216.00
2026-03-27T20:04:48.272036,20,40.59,57.84,12.20,23.66,385.25,7452.00,-0.050,0.267,0.805,-9.50,-5.09,-23.78,8.617,258.00,2224.00
2026-03-27T20:04:48.863979,21,40.66,57.84,12.11,23.64,385.25,7452.00,-0.050,0.260,0.805,-6.88,-5.36,-25.28,8.617,258.50,2228.00
2026-03-27T20:04:49.515748,22,40.56,57.84,11.62,23.66,385.25,7452.00,-0.053,0.261,0.804,-7.04,-5.50,-25.31,8.617,257.50,2220.00
2026-03-27T20:04:50.165916,22,40.66,58.12,11.86,23.66,385.25,7452.00,-0.053,0.262,0.807,-6.43,-5.54,-25.61,8.617,259.25,2236.00
2026-03-27T20:04:50.825195,23,40.62,57.72,11.77,23.64,385.25,7452.00,-0.052,0.263,0.804,-4.49,-6.28,-25.23,8.625,249.88,2154.00
